/* DATA DESCRIPTION:
Citation:	Bouchet, Marie; Grisart, Antoine; Landais, Amaëlle; Prié, Frédéric; Jacob, Roxanne; Fourré, Elise (2023): δO2/N2 from EPICA Dome C ice core (Antarctica) (0-800 ka) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.961025, 
	In: Bouchet, M et al. (2023): δO2/N2 and δ18O of O2 from EPICA Dome C ice core (Antarctica) (0-800 ka) [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.961023
Keyword(s):	Antarctica; Elemental ratios; EPICA Dome C ice core; Gas; Ice core; Isotope ratio; Termination
Related to:	Bazin, Lucie; Landais, Amaëlle; Capron, Emilie; Masson-Delmotte, Valerie; Ritz, Catherine; Picard, Ghislain; Jouzel, Jean; Dumont, Marie; Leuenberger, Markus Christian; Prié, F (2016): Phase relationships between orbital forcing and the composition of air trapped in Antarctic ice cores. Climate of the Past, 12(3), 729-748, https://doi.org/10.5194/cp-12-729-2016
	Dreyfus, Gabrielle; Parrenin, Frédéric; Lemieux-Dudon, Bénédicte; Durand, Gael; Masson-Delmotte, Valerie; Jouzel, Jean; Barnola, Jean-Marc; Panno, L; Spahni, Renato; Tisserand, Amandine; Siegenthaler, Urs; Leuenberger, Markus Christian (2007): Anomalous flow below 2700 m in the EPICA Dome C ice core detected using d18O of atmospheric oxygen measurements. Climate of the Past, 3(2), 341-353, https://doi.org/10.5194/cp-3-341-2007
	Dreyfus, Gabrielle; Raisbeck, Grant M; Parrenin, Frédéric; Jouzel, Jean; Guyodo, Yohan; Nomade, Jérome; Mazaud, Alain (2008): An ice core perspective on the age of the Matuyama-Brunhes boundary. Earth and Planetary Science Letters, 274(1-2), 151-156, https://doi.org/10.1016/j.epsl.2008.07.008
	Extier, Thomas; Landais, Amaëlle; Bréant, Camille; Prié, F; Bazin, Lucie; Dreyfus, Gabrielle; Roche, Didier M; Leuenberger, Markus Christian (2018): On the use of d18O atm for ice core dating. Quaternary Science Reviews, 185, 244-257, https://doi.org/10.1016/j.quascirev.2018.02.008
	Landais, Amaëlle; Dreyfus, Gabrielle; Capron, Emilie; Pol, Katy; Loutre, Marie-France; Raynaud, Dominique; Lipenkov, Vladimir Ya; Arnaud, Laurent; Masson-Delmotte, Valerie; Paillard, Didier; Jouzel, Jean; Leuenberger, Markus Christian (2012): Towards orbital dating of the EPICA Dome C ice core using dO2/N2. Climate of the Past, 8(1), 191-203, https://doi.org/10.5194/cp-8-191-2012
Funding:	European Research Council (ERC), grant/award no. 817493: ICORDA - Ice CORe DAting tools revisited to infer the dynamic of glacial – interglacial transitions over the last 1.5 million years (URI: https://doi.org/10.3030/817493)
Coverage:	LATITUDE: -75.102000 * LONGITUDE: 123.395000
	MINIMUM DEPTH, ice/snow: 1420.60 m * MAXIMUM DEPTH, ice/snow: 3188.92 m
Event(s):	DomeC * LATITUDE: -75.102000 * LONGITUDE: 123.395000 * ELEVATION: 3233.0 m * METHOD/DEVICE: Drilling/drill rig (DRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr)
	Ice age [ka BP] (Ice age) * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr) * METHOD/DEVICE: Antarctic ice core chronology (AICC2023) (URI: https://doi.org/10.5194/cp-19-2257-2023)
	δ Oxygen/Nitrogen ratio [‰] (δ(O2/N2)) * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr) * METHOD/DEVICE: Isotope Ratio Mass Spectrometer (IRMS), Thermo Scientific, Delta 219 V
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	1645 data points
*/
Depth ice/snow [m]	Ice age [ka BP]	δ(O2/N2) [‰]
2861.30	503.4624	-3.7000
2865.16	506.0675	-2.9000
2868.44	508.3343	-3.7000
2870.45	509.6784	-7.2794
2871.70	510.5905	-3.9000
2873.75	512.1182	-7.7134
2874.30	512.5261	-8.1235
2874.40	512.6010	-5.3000
2874.85	512.9380	-9.2479
2874.94	513.0060	-5.9000
2875.40	513.3531	-6.0681
2875.40	513.3531	-6.0681
2875.95	513.7699	-8.0272
2876.50	514.1787	-7.6167
2877.60	514.9896	-7.2012
2878.08	515.3479	-5.9000
2878.15	515.4001	-6.4185
2878.15	515.4001	-6.4185
2878.70	515.8028	-8.2854
2879.25	516.1845	-7.7818
2880.35	516.9607	-7.2762
2880.35	516.9607	-7.2762
2881.23	517.5761	-5.0000
2881.45	517.7254	-8.1209
2882.00	518.0864	-7.6465
2883.10	518.8224	-8.5594
2883.65	519.1942	-7.7242
2884.75	519.9126	-7.9792
2884.93	520.0314	-5.2000
2885.30	520.2758	-8.7259
2885.85	520.6230	-8.1561
2886.40	520.9745	-6.9108
2887.50	521.6724	-7.0482
2888.05	522.0162	-6.3880
2888.67	522.4129	-7.4000
2889.15	522.7196	-7.7179
2890.25	523.4241	-6.9106
2891.35	524.1481	-6.3492
2892.45	524.8755	-6.9559
2892.45	524.8755	-8.2000
2893.00	525.2399	-6.7434
2893.55	525.6131	-6.8494
2894.10	526.0320	-6.8212
2894.65	526.4434	-6.2832
2895.71	527.2334	-5.7000
2895.75	527.2628	-7.6955
2896.30	527.6763	-7.9797
2896.85	528.0887	-7.7926
2897.40	528.5227	-6.4923
2897.95	528.9348	-7.4920
2898.93	529.6917	-8.0000
2899.05	529.7872	-6.5712
2899.60	530.2229	-7.4073
2899.60	530.2229	-7.4073
2900.15	530.6578	-9.1324
2900.15	530.6578	-9.1324
2900.70	531.0780	-8.6076
2900.70	531.0780	-8.6076
2901.25	531.5198	-8.8278
2901.80	531.9466	-7.8330
2901.80	531.9466	-7.8330
2902.10	532.1737	-10.5000
2902.35	532.3630	-8.3365
2902.64	532.5790	-7.8000
2903.45	533.1941	-7.0528
2903.45	533.1941	-7.0528
2904.00	533.6168	-8.4890
2904.55	534.0671	-9.2659
2905.10	534.5276	-10.0200
2905.53	534.9099	-10.3000
2905.65	535.0165	-9.5884
2905.65	535.0165	-9.5884
2906.20	535.5378	-10.6393
2906.75	536.0882	-9.2679
2907.30	536.6292	-11.1149
2907.30	536.6292	-11.1149
2907.85	537.1985	-10.7884
2908.40	537.7557	-8.9990
2908.40	537.7557	-8.9990
2908.46	537.8177	-10.0000
2908.95	538.3238	-10.2904
2910.05	539.4070	-10.9855
2910.60	539.9192	-10.1444
2911.40	540.6818	-11.5000
2915.03	544.1602	-10.7000
2916.87	545.9148	-12.4000
2919.84	548.6489	-8.7000
2920.42	549.1950	-7.6000
2921.54	550.2385	-7.5000
2924.37	552.5594	-4.9000
2926.55	554.1242	-3.7000
2929.27	556.0726	-3.6000
2933.18	558.2124	-3.8000
2935.80	559.5998	-4.7000
2939.99	562.0054	-5.9000
2944.29	564.1680	-6.5000
2948.63	565.9723	-7.8000
2955.06	568.2032	-8.9000
2961.87	570.3242	-5.9000
2969.14	572.5069	-4.9000
2969.69	572.6752	-6.3000
2975.04	574.3649	-5.4000
2981.55	576.5934	-4.1000
2987.04	578.7663	-3.2000
2992.37	581.1606	-4.7000
2996.67	583.5078	-5.3000
2999.40	585.6668	-6.9000
3002.73	588.8109	-8.9000
3004.38	590.5046	-8.9000
3006.68	592.5850	-7.5000
3007.25	593.1431	-7.5000
3008.89	594.9526	-6.0000
3011.16	597.4008	-3.9000
3011.78	598.0900	-3.7000
3013.39	600.2847	-3.6000
3015.08	602.6741	-4.2000
3017.29	605.6920	-6.0000
3018.89	607.9255	-6.7000
3021.61	611.4894	-7.6000
3023.24	613.4268	-7.1000
3025.98	616.5738	-6.4000
3028.14	619.0362	-5.1000
3030.34	621.6170	-4.8000
3031.40	622.9358	-4.2000
3034.06	626.1787	-8.6000
3035.68	628.2437	-5.8000
3036.80	629.6430	-8.2000
3038.61	632.1798	-10.8000
3039.75	634.3792	-9.8000
3040.93	636.9227	-8.3000
3042.15	639.4750	-6.6000
3043.28	641.8236	-4.6000
3044.55	644.4560	-7.5000
3045.75	646.7171	-4.8000
3046.98	648.8758	-7.8000
3048.16	650.8936	-7.5000
3049.26	652.7335	-7.1000
3050.33	654.5507	-9.1000
3051.36	656.2769	-7.9000
3052.51	658.0184	-7.2000
3053.54	659.6278	-7.3000
3055.13	662.3153	-9.4000
3056.68	664.8317	-4.5000
3058.32	667.6233	-3.7000
3059.90	670.3181	-5.3000
3061.58	672.7390	-3.1000
3063.69	675.7298	-6.3000
3065.84	678.7040	-6.3000
3068.60	681.9577	-4.7000
3071.21	684.8227	-4.6000
3074.29	688.2876	-3.6000
3076.94	690.8311	-1.8000
3080.63	693.9191	-1.4000
3084.37	696.6485	-0.7000
3088.66	699.4102	-2.9000
3092.49	701.6074	-3.8000
3097.53	704.3999	-7.1000
3100.96	706.3030	-8.1000
3104.17	708.1699	-7.3000
3105.46	708.8880	-7.1000
3108.89	710.9373	-4.3000
3110.62	712.0633	-6.1000
3112.36	713.2391	-4.3000
3113.52	714.0405	-5.4000
3115.27	715.2994	-4.6000
3117.62	717.0549	-2.3000
3118.78	717.9523	-5.9000
3120.48	719.4148	-1.4000
3122.23	721.0814	-3.9000
3124.50	723.2973	-5.0000
3126.22	724.8744	-4.0000
3126.76	725.3881	-3.1000
3128.98	727.4629	-3.5000
3131.72	729.9804	-10.6000
3134.48	732.3261	-9.5000
3137.68	735.2400	-6.7000
3139.06	736.7533	-4.3000
3140.74	738.9146	-5.4000
3143.28	742.4049	-3.7000
3145.84	745.9422	-8.7000
3147.90	748.8493	-4.6000
3148.45	749.6288	-6.1000
3150.04	751.9398	-8.3000
3151.14	753.5620	-5.8000
3152.19	755.1100	-7.5000
3154.31	758.1312	-4.5000
3157.09	761.5450	-5.2000
3159.38	764.8338	-6.9000
3159.91	765.6304	-5.8000
3162.75	769.4244	-5.2000
3163.35	770.2431	-8.0000
3165.02	772.7745	-3.3000
3167.30	775.8937	-6.4000
3172.28	782.5064	-7.0000
3174.52	785.2304	-7.6000
3175.64	786.5910	-5.8000
3177.34	788.6249	-5.0000
3180.16	791.7477	-2.5000
3182.94	794.8963	-2.6000
3185.13	797.9646	-7.9000
3187.33	801.7650	-3.0000
3188.92	805.1150	-9.8000
